words,type,synonym,trad,french_phrase,portuguese_phrase
apprender,v,ensinar / entender,apprendre,Les enfants apprennent quelque chose de nouveau tous les jours,As crianças descobrem algo novo todos os dias.
perna de pau,exp,jambe de bois,,
arco-íris,,,arc-en-ciel,,
calcanhar,m,salto / talão,talon (chaussure / partie du corps),Her pointy heels made noise on the wooden floor / Seus saltos pontiagudos faziam barulho no piso de madeira., I measured my foot from the heel to the toes. / Eu medi meu pé desde o talão até os dedos.
multa,,,amende,,Os prazos para entrega do saft passaram para dia 05 do mês seguinte sem multa.
ter soluços,,,avoit le hoquet,,
Meter o Rossio na Betesga,Expressões idiomáticas,,O Rossio é uma das maiores e principais praças da cidade enquanto que a Rua da Betesga é talvez a rua mais pequena da cidade com apenas 10 metros. Normalmente diz-se que alguém está a tentar meter o Rossio na rua da Betesga quando está a tentar fazer alguma coisa que é impossível tal como seria impossível o Rossio caber na rua da Betesga.,,
Está a chover a potes!,Expressões idiomáticas,,Esta expressão é muito fácil de perceber e significa que está a chover muito como se estivessem a ser despejados potes de água. A expressão inglesa equivalente é muito engraçada e é a seguinte: It’s raining cats and dogs.,,
pedra,,,pierre,,
a perca da diversidade,,,la perte de diversité,,
as alterações climaticas,,,les changements climatiques,,
preto/a,,,noir (coisas / objetos),,
negro/a,,,noir (pessoas),,
mudo,,,muet,,
a missão,,,la mission,,
emprego,,,emploi,,
padrasto / madrasta,,,parrain / marraine,,
reformado,,,retraité,,
discutir,,,débattre,,
boca em boca,,,,de bouche en oreille,
menos forte do que,,,,moins fort que,
ser patrocinado,,,être sponsorisé,,
que disparate!,,,,quelle absurdité!,
os baldes de tintas,,,les pots de peintures,,
Mas seja como for,,,,mais dans tous les cas / mais en tout cas,
Maluco,,,fou,,
Rebentaste com essa peça,,,,T'as tout explosé (dans le sens ~déchirer) avec cette pièce,
tomar,,,,um duche / um táxi / a vacina / um comprimido / a pílula (contracetivo só) / o pequeno almoço,
choramingar,,,pleurnicher,,
passeio,,,trottoir,,
recear,,,craindre,,
odiar,,,aïr,,
por favor = SFF = FF,,,,c'est exactement la même chose,
buscar,,,aller chercher (un café...),,
pesquisar,,,rechercher (science / google),,
procurar → encontrar,,,chercher → trouver,,
merendinhas,,,,petit rectangle avec queijo + fiambre (mais antigo do que o lanche),
prateleira,,,étagère,,
Por ser um fã do[...],,,,pour être un fan de[...],
herde,,,hériter,,
esboçar,,,faire des croquis,,
ambos,,,les deux,,
lucro,,,bénéfice / profit,,
matar um coelho com duas cajadadas,,,,faire d'une pierre deux coups,
a bengala,,,une canne,,
um cajado / um pau,,,un bâton,,
pedir,,,demander,,
demander / questionner,,,perguntar,,
premuta,,,un échange (troc mais en plus jolie),,
a feira da ladra,,,le marché aux puces,,
o ladrão / a ladra,,,voleur / voleuse,,
"andar de cavalho para burro",,,,"passer du coq à l'âne",
Je suis venu taper à la porte mais il n’y avait personne,,,,Bati à porta mas não estava lá ninguém,
um bigode,,,une moustache,,
um relógio,,,une montre,,
acordar,,,se réveiller,,
tijolo,,,brique,,
um atacador,,,un lacet (de chaussures),,
