highlights,comments
Page 25,eerily 
Page 30,muss. 
Page 32,lilies 
Page 147,“dipping your toes” 
Page 150,We’ll see how our culture often has things backward when it comes to kids: We interfere too much. We don’t have enough confidence in our children. We don’t trust their innate ability to know what they need to grow. And in many instances we don’t speak their language. 
Page 152,In particular our culture focuses almost entirely on one aspect of the parent-child relationship. That’s control—how much control the parent exerts over the child and how much control the child tries to exert over the parent. 
Page 156,Nobody likes to be controlled. Both children and parents rebel against it. So when we interact with our children in terms of control—whether it’s a parent controlling the child or vice versa—we establish an adversarial relationship. Tensions build. Arguments break out. Power struggles are inevitable. For a little two- or three-year-old who can’t handle emotions these tensions burst out in a physical eruption. 
Page 186,genuinely 
Page 330,giddy. 
Page 527,Parents became the sleep police. “Bedtime was now an opportunity to show who was boss” Christina wrote. Eventually rules for sleep morphed into a moral issue: If your kids aren’t sleeping at optimal times for an optimal amount each day then not only are you a bad parent but look out! Your children are going to have problems later in life—problems in school problems getting a job problems… Well just problems. Lots of problems. 
Page 542,thingamajigs 
Page 613,psychologists Peggy Miller and Grace Cho wrote in their mind-blowing book Self-Esteem in Time and Place published in 2017. 
Page 618,And when praise greatly outweighs criticism—when parents ignore misdeeds and shortcomings—Miller and Cho worry that parents may be making their own lives harder in the long run. They may be teaching children to be self-centered and to compete with siblings for adult praise and attention. Children may become more vulnerable to depression and anxiety as they grow into adulthood. 
Page 629,To be honest after reading Miller and Cho’s book I felt a great sense of relief. 
Page 681,“Parenting questions are some of the hardest problems out there for science. Shooting a rocket to Mars is super easy compared to these questions.” 
Page 728,If a child misbehaves they need more responsibilities. 
Page 789,Lucia tells me that parents are teaching their children a skill that’s way more complex than simply knowing how to wash dishes or do the laundry: they’re teaching the children to pay attention to their surroundings 
Page 791,recognize when a specific chore needs to be done and then do it. 
Page 796,acomedido. 
Page 796,The idea is complex: It’s not just doing a chore or task because someone told you to; it’s knowing which kind of help is appropriate at a particular moment because you’re paying attention. 
Page 804,But here’s the part that really blows my mind: many times the Maya and Nahua-heritage kids actually enjoy doing chores! Their parents haven’t just taught them acomedido they have also taught the children to value their work and feel proud of their contributions to the household. Helping with chores is a privilege. 
Page 811,gumption 
Page 813,You see when you transmit the value of helpfulness to a child you get a whole bundle of fringe benefits. Kids become healthier mentally and they also become less of a pain in the butt. Why? Because when kids learn to be helpful they also learn to cooperate and to work together with you. So when Dad puts his jacket on in the morning and walks out the door the child follows—no whining no fussing. 
Page 819,Chores 
Page 820,“From day one when they are small you start showing them how to help” Maria tells me. 
Page 825,Because here’s the thing about learning to do chores voluntarily: it takes years to learn Maria tells me. “You have to teach them slowly little by little and eventually they will understand.” 
Page 831,The child has to understand not just how to do the chores but also when to do them and why doing them is important and beneficial to the family—and themselves. 
Page 833,the whole goal is for children to pay attention to the world around them and learn when particular chores are needed. 
Page 842,For a Western parent like me the first step is counterintuitive. You have to do almost the exact opposite of what you think makes sense: you have to turn over tasks to the least competent family members in the home. 
Page 845,Toddlers 
Page 854,“Whenever she wants to help you let her?” I ask still not understanding. “Even if she makes a giant mess?” “Yes. That is the way to teach children.” 
Page 858,tantrums. 
Page 864,No one understands exactly why toddlers feel so motivated to help (or why rewards appear to diminish the impulse). But it could stem from their strong drive to be around their family and connected to their parents siblings and other caregivers. 
Page 866,“I think this point is really key” says psychologist Rebeca Mejía-Arauz at ITESO University in Guadalajara. “Doing things with other people makes them happy and is important for their emotional development.” 
Page 896,Parents see this mess as an investment. If you encourage the incompetent toddler who really wants to do the dishes now then over time they’ll turn into the competent nine-year-old who still wants to help—and who can really make a difference. 
Page 902,slaughter 
Page 902,Now there are a few caveats here. Parents don’t accept every offer from a child to help—or let the child do whatever they want 
Page 903,willy-nilly. 
Page 903,If the task is too advanced for the child the parent may ignore the child’s request or break the task into a smaller more doable subtask. If the child begins to waste precious resources the parent will guide the child into being more productive or tell them to leave. 
Page 913,By including a toddler in a task the parent is in effect telling the child “You are a working member of the family who helps and contributes however they can.” 
Page 914,Psychologists believe that the more a young child practices helping the family even starting as a toddler the more likely they will grow up to be a helpful teenager for whom chores are natural. Early involvement in chores sets the child on a trajectory that leads them to helping voluntarily later in life. 
Page 930,The key is for you the parent to shift how you think about the child. Encourage a child’s involvement at any age follow the ideas in the next chapter and before you realize it you’ll turn a self-absorbed preteen into a dish-drying dynamo. 
Page 940,So the first step to raising helpful kids can be summed up in a single phrase: Let them practice. Practice cleaning. Practice cooking. Practice washing. Let them grab the spoon from your hand and stir the pot. Let them grab the vacuum and start cleaning the rug. Let them make a bit of a mess when they are little slightly less of a mess as they grow and by the time they’re preteens they will be helping to clean up your messes without you having to ask them—or even running your entire household. 
Page 950,The tiniest little staggerer has tasks to perform—to carry water to borrow firebrands to fetch leaves to stuff the pig… learning to run errands tactfully is one of the first lessons of childhood. 
Page 979,Think: Watch and include “As early as the child can sit sit him next to you while you’re working and he can see what you’re doing” a Yucatec Maya mom told Lucia Alcalá and her colleagues. 
Page 983,tow. 
Page 986,Young Children (from ages 1 to about 6) Think: Show encourage and request help “Once the child starts walking you can begin to ask them to help you.… They can [for example] bring me my shoes from across the room” a Nahua-heritage mom told Rebeca Mejía-Arauz. 
Page 990,“When I wake up I always clean and make breakfast—and the children are watching me. If you show them how to do it every day they will eventually do it themselves” a Maya mom told me. 
Page 997,“The invitation is always for together for doing the chore together.” 
Page 1046,In general any small task is great for young children. Again see what the child shows interest in and welcome their help there. A few principles to keep in mind: 1. The task should be real and it should make a real contribution to the family. The contribution 
Page 1048,doesn’t have to be a large one but it shouldn’t be made up. For example asking a child to “sweep the floor” after you’ve already swept it is not a real task. Nor is asking a child to cut up vegetables only to throw them out. Maybe you retrim the vegetables a bit or help the child finish sweeping but you want to be sure that the child’s work contributes to the family. 
Page 1058,2. The tasks should be doable (or almost). The key is to give young children tasks that are suitable for their personal skill level. It’s better to err on the side of too easy than too hard. If the job is too hard the child will become frustrated and quickly lose interest (or they’ll require too much instruction or 
Page 1064,3. Never force a task. We’ll talk more about this later. For now just keep in mind that forcing a child to do a task can severely undermine their motivation. We’ll learn many tricks for dealing with a stubborn unhelpful child later on but forcing a chore only hinders the teaching of acomedido and 
Page 1067,builds tension. If a child says no or ignores you leave it alone. Try again later. We’re training the child to cooperate not to obey the parent. Part of working together is accepting a child’s preference when they choose not to help. 
Page 1114,humdinger. 
Page 1115,It not only teaches children to be more helpful it’s also vital to teaching them to be cooperative members of the family including in their interactions with their siblings. 
Page 1248,The Maya parents don’t feel the need to constantly entertain or play with their children. 
Page 1251,Suzanne calls these activities “child-centered.” That is they’re activities solely for kids that parents would not do if they did not have children. 
Page 1253,Instead the parents give their children an even richer experience something that many Western kids do not get much of: real life. Maya parents welcome children into the adult world and give them full access to the adults’ lives including their work. 
Page 1256,These real-life events are the “enrichment activities.” 
Page 1269,says psychologist Rebeca Mejía-Arauz. “Parents don’t need to know how to play with kids. If we get kids involved in adult activities that’s play for kids.” 
Page 1270,And then they associate chores with a fun positive activity. They associate it with playing. 
Page 1274,But this approach has several other advantages. First it gives parents a break. Instead of having to schedule pay for and participate in endless child-centered activities parents can lead their normal lives—working or relaxing—while kids follow along learning as they go. Rather than scheduling your life around your child you can simply put your child into your schedule. Moreover humans likely evolved 
Page 1281,But perhaps most important this approach gives kids something missing in many American homes: their team membership card. 
Page 1283,Here in the West we often employ two types of motivation: rewards (e.g. praise gifts stickers allowances) and punishment (e.g. yelling time-outs groundings 
Page 1284,threats). But in many other cultures moms and dads tap into another type of motivation: a child’s drive to fit in with their family and to work together as a team. To belong. 
Page 1291,Kids are wired for this type of cooperation. It’s one of the traits that makes us human. It makes us feel good to work together and help the people who love us. 
Page 1295,But in order for moms and dads to tap into this natural motivation there’s one critical requirement: kids need to feel like they’re full-fledged contributing members of the family. 
Page 1296,They need to feel like their contributions genuinely make a difference and matter. 
Page 1303,By welcoming children into the adult world you confirm that they belong on the family’s team. 
Page 1303,Metaphorically you’re giving them a membership card that they carry around in their back pockets. 
Page 1305,This card tells the child I do what these adults do because I’m part of this group. When the family does laundry I do laundry. When the family cleans I clean. When the family leaves the house in the morning I leave with them. When the family… You name it the kid will follow. 
Page 1310,On the flip side every time we choose an activity devoted to and centered around the child we slowly take away that membership card. We tell children that they’re different from the rest of the family that they’re a bit like a VIP who’s exempt from the family’s work from the adult activities. We erode their motivation to work as a team. 
Page 1321,I decided to stop entertaining her and learn to simply be with her. 
Page 1323,1. I totally revamped Rosy’s schedule. 
Page 1338,2. I totally changed the way I thought about her zest to help. 
Page 1342,3. I gave her as much autonomy as I could. 
Page 1362,Make Saturday or Sunday your family membership day. On this day everyone in the family is treated similarly and invited to all the same activities. Replace child-centered activities and child-only entertainment (including child-centered TV YouTube and games) with family-centered and adult activities. 
Page 1364,Focus on immersing the child in the adult world. Do chores around the house in the yard or at the office. Go grocery shopping together. Go to a park and have a picnic with family and friends. Go fishing. 
Page 1366,the beach and read or work while your children play. 
Page 1368,It’s not my job to entertain the children. It’s their job to be part of the team. 
