title,author,ISBN,ISBN13,rating,avg_rating,publisher,binding,number_pages,year_published,original_publication_year,date_read,date_added,bookshelves,bookshleves_with_position,exclusive_shelf,my_review,open_library_url_info_ISBN,open_library_url_info_ISBN13,notes,recommendation_from
Ce genre de petites choses,Claire Keeegan,,,3.0,,,,117,,,2026/01/31,,,,read,,,,,
Le prince des marais,Pat Conroy,,,5.0,,,,1071,,,2026/01/29,2025/11/13,,,read,,,,,@booksaresick https://www.instagram.com/p/DQZvWrykWlJ/ - https://www.instagram.com/p/DQUcDIdken0/
Eliete la vie normale,Dulce Maria Cardoso,,,3.0,,,,342,,,2026/01/17,2025/10/21,,,read,,,,,https://www.instagram.com/p/DNLA0PztVZ0/ - Mariana Mortaga
Butcher's crossing,John Williams.,,,3.0,,,,296,,,2026/01/10,2025/11/13,,,read,,,/category/book/notes/Butchers-crossing,,La lecture de Stoner - https://www.instagram.com/p/DRDDNiBAb0D/ - @booksaresick
Sur l'île,Elizabeth O'connor,,,4.0,,,,218,,,2026/01/03,2025/11/13,,,read,,,/category/book/notes/Sur-lile,,@booksaresick https://www.instagram.com/p/DPjdW18kZ-h/
A l'est d'eden,John Steinbeck.,,,5.0,,,,694,,,2025/12/28,2025/11/13,,,read,,,/category/book/notes/A-lest-deden,,@headyreads / https://www.instagram.com/p/DPwmMpQATOc/ - https://www.instagram.com/p/DMVxbh2P50G/s
L'ourse qui danse,Simonetta Greggio - Clara Debray (Illustrations).,,,4.0,,,,120,,,2025/12/10,2025/11/13,,,read,,,/category/book/notes/Lourse-qui-danse,,@headyreads / https://www.instagram.com/p/DPwmMpQATOc/ - https://www.instagram.com/p/DMVxbh2P50G/s
Jeu blanc,Richard Wagamese,,,4.0,,,,253,,,2025/12/08,2025/08/04,,,read,,,/category/book/notes/Jeu-blanc,,à la suite de Les étoites s'éteignent à l'aube
L'usage du monde,Nicolas Bouvier,,,4.0,,,,377,,,2025/12/06,2025/08/19,,,read,,,/category/book/notes/Lusage-du-monde,,https://www.instagram.com/reel/DLc01wqvz1W/ - Chronique France Inter de François Morel
La dame aux abeilles,Sue Hubbell,,,4.0,,,,290,,,2025/11/23,2025/06/03,,,read,,,/category/book/notes/La-dame-aux-abeilles,,A la suite de la lecture de Une année à la campagne
Yellowface,R.F. Kuang,,,3.0,,,,347,,,2025/11/15,2025/08/04,,,read,,,/category/book/notes/Yellowface,,youtube Margorito - https://www.youtube.com/watch?v=syL07zjERrk&t=487s
La porte,Magda Szabo,,,3.0,,,,277,,,2025/11/06,2025/02/20,,,read,,,/category/book/notes/La-porte,,Toute une moitié du monde - Alice Zeniter p.195 et La.nuit.sera.mots https://www.tiktok.com/@lecafedeslettres/video/7234170765892095258
Un homme,Philip Roth,,,3.0,,,,153,2006,,2025/10/25,2025/02/25,,,read,,,/category/book/notes/Un-homme,,@lecafedeslettres @david.foenkinos - https://www.instagram.com/p/DGIuamdNbUb/
Ballade pour Sophie,Filipe Melo / Juan Cavia,,,4.0,,,,,2024,,2025/10/20,,,,read,,,/category/book/notes/Ballade-pour-sophie,,
James,Percival Everett,,,4.0,,,,285,2024,,2025/10/20,,,,read,,,/category/book/notes/James,,book club - https://www.radiofrance.fr/franceculture/podcasts/le-book-club/le-point-de-vue-de-l-esclave-rencontre-avec-percival-everett-1547870
Les étoiles s'éteignent à l'aube,Richard Wagamese,,,5.0,,,,373,2014,,2025/10/14,2025/08/04,,,read,,,/category/book/notes/Les-etoiles-seteignent-a-laube,,youtube Margorito - https://youtu.be/syL07zjERrk?feature=shared&t=802
Le banquier anarchiste,Fernando Pessoa,,,3.0,,,,117,1922,,2025/10/10,2025/09/19,,,read,,,https://www.monvoisin.xyz/conseil-de-materiel-lectures-et-autres-mai-2025/,,Richard Monvoisin
Normal people,Sally Rooney,,,5.0,,,,285,2018,,2025/10/08,2025/08/19,,,read,,,/category/book/notes/Normal-people,,@booksaresick - https://www.instagram.com/p/DLYEbdeSYjD/
