words,type,synonym,trad,french_phrase,english_phrase
grin,⇒ vi,smile broadly at,faire un large sourire / arborer un large sourire/ sourire de toutes ses dents,Peter fit un large sourire en engloutissant le chocolat / Après avoir trébuché dans l'escalier j'ai remarqué un petit garçon très mignon qui me faisait un grand sourire / De retour de son entretien Kyle arborait un large sourire, Peter grinned as he stuffed the chocolate in his mouth / After I tripped on the stairs I noticed a really cute boy grinning at me / Kyle had a big grin on his face when he got home from the interview
unabashed,adj,person: not ashamed, nullement déconcerté / nullement décontenancé / nullement intimidé,Rita critiquait son frère sans complexe / sans honte,Rita was unabashed in her criticism of her brother.
unabashed,adj,emotion: not concealed,"sans complexe, sans honte, non dissimulé",David regardait Eric et sa petite amie avec une jalousie non dissimulée / évidente,David was looking at Eric and his girlfriend with unabashed jealousy.
harrumph,expressing indignation,express indignation,Oh ! (s'offusquer),,
tenure,n,,fonction,Lorsqu'il était en fonction le PDG a véritablement changé les choses dans cette entreprise,During his tenure the CEO really changed things at this company 	
counterpart,n,,équivalent / pendant / double / homologue, Le diplomate américain a rencontré son homologue chinois pour traiter de ce problème. / Ce mot n'a pas d'équivalent en anglais., The American diplomat met with her Chinese counterpart to discuss the problem. / That word has no English counterpart.
vagary,n,whim / unpredictable change, caprice,Les caprices des éléments risquent de retarder le tournoi.,
spelunk,v.i.,,to explore caves esp. as a hobby.,,
idleness,n,(laziness),oisiveté / paresse,La paresse de Tiffany est la raison pour laquelle elle n'arrive pas à garder un emploi.,Tiffany's idleness is the reason she can't keep a job.
pet peeve (US) / pet hate (UK),n,informal ([sth] disliked intensely) (figuré),bête noire,avoir une sainte horreur de [qch] / rien n'exaspère autant [qqn]que [qch] expr,,
deflect [sth], vtr,(change course of: an object),dévier / faire dévier,L'homme politique intelligent a détourné les questions difficiles de l'intervieweur.,The clever politician deflected the interviewer's tough questions.
mesmerize [sb],,figurative (fascinate / entrance),fasciner / hypnotiser,La prestation sans faute du danseur a fasciné le public. / Toutes les tentatives pour l'hypnotiser ont échoué.,The dancer's flawless performance mesmerized her audience. / Every attempt to mesmerize her failed.
loophole,n,figurative (law / rules: technicality),faille,,
pond,n,(small lake),étang / mare / bassin,,
leeway,n,(margin / allowance / freedom / flexibility),marge / marge de sécurité / marge de manœuvre,Cela ne nous laisse qu'une marge de cinq minutes pour atteindre l'aéroport.,That gives us only five minutes leeway to get to the airport.
